Year,Country,Athlete,Sport,Event,Gender,Medal,Score,Age,Height,Weight
1996,UK,Athlete_32,Tennis,Event_32,Male,Gold,8.69,27,1.99,90.68
2008,China,Athlete_33,Rowing,Event_33,Male,Silver,9.96,30,1.81,78.42
2016,India,Athlete_34,Boxing,Event_34,Female,Gold,9.47,21,2.09,78.69
2012,Russia,Athlete_35,Cycling,Event_35,Female,Bronze,9.86,31,2.08,69.88
2008,Germany,Athlete_36,Swimming,Event_36,Female,Bronze,9.22,18,1.71,69.36
1996,Germany,Athlete_37,Rowing,Event_37,Female,Silver,9.9,27,1.97,95.47
2020,Australia,Athlete_38,Cycling,Event_38,Female,Gold,9.37,18,2.02,86.91
1988,Russia,Athlete_39,Cycling,Event_39,Male,Bronze,8.97,29,1.82,82.41
1984,India,Athlete_40,Athletics,Event_40,Male,Gold,9.91,21,1.68,57.97
2000,Germany,Athlete_41,Gymnastics,Event_41,Female,Gold,9.96,29,1.94,108.91
2008,Germany,Athlete_42,Boxing,Event_42,Female,Bronze,9.9,28,1.96,53.03
1988,China,Athlete_43,Gymnastics,Event_43,Female,Gold,9.24,18,1.94,105.35
1980,Germany,Athlete_44,Swimming,Event_44,Female,Bronze,9.26,33,1.75,53.91
1996,India,Athlete_45,Boxing,Event_45,Female,Silver,8.07,27,2.08,69.1
1984,UK,Athlete_46,Gymnastics,Event_46,Female,Gold,8.15,29,1.6,90.96
1996,USA,Athlete_47,Swimming,Event_47,Male,Silver,8.74,19,1.94,104.42
2000,USA,Athlete_48,Boxing,Event_48,Female,Gold,8.55,19,1.71,81.56
1980,France,Athlete_49,Gymnastics,Event_49,Male,Gold,8.71,20,2.01,93.31
1984,Russia,Athlete_50,Athletics,Event_50,Male,Gold,9.02,21,1.81,64.17
1992,Australia,Athlete_51,Gymnastics,Event_51,Male,Gold,9.89,19,1.81,65.36
2012,UK,Athlete_52,Cycling,Event_52,Male,Gold,9.95,33,1.77,95.08
2016,India,Athlete_53,Boxing,Event_53,Female,Gold,9.45,20,1.93,87.63
2004,Canada,Athlete_54,Athletics,Event_54,Male,Silver,8.91,20,1.92,70.57
2016,Germany,Athlete_55,Athletics,Event_55,Female,Silver,9.4,22,1.68,88.69
2004,Russia,Athlete_56,Athletics,Event_56,Female,Gold,8.21,25,1.91,99.8
1988,Germany,Athlete_57,Gymnastics,Event_57,Female,Bronze,8.25,18,1.7,108.43
1992,Germany,Athlete_57,Gymnastics,Event_57,Female,Bronze,8.25,18,1.7,108.43
1992,Germany,Athlete_58,Cycling,Event_58,Female,Gold,8.56,33,1.96,108.32
1996,Russia,Athlete_59,Wrestling,Event_59,Female,Gold,9.05,19,1.66,69.02
1992,UK,Athlete_60,Rowing,Event_60,Male,Bronze,8.55,31,1.87,97.08
2004,India,Athlete_61,Gymnastics,Event_61,Female,Gold,9.74,30,1.93,86.64
2016,China,Athlete_62,Wrestling,Event_62,Female,Bronze,9.5,27,1.65,106.29
1992,Germany,Athlete_63,Athletics,Event_63,Female,Silver,9.86,23,1.74,81.69
1988,Canada,Athlete_64,Gymnastics,Event_64,Female,Gold,8.91,27,2.03,108.57
2016,China,Athlete_65,Tennis,Event_65,Female,Bronze,8.96,18,1.93,103.58
2004,Australia,Athlete_66,Athletics,Event_66,Female,Gold,8.56,25,1.58,60.07
1980,USA,Athlete_67,Athletics,Event_67,Male,Gold,9.47,23,2.0,83.77
2000,Russia,Athlete_68,Boxing,Event_68,Female,Gold,9.15,30,1.64,52.64
2008,France,Athlete_69,Athletics,Event_69,Male,Bronze,9.38,33,2.05,78.33
1996,Canada,Athlete_70,Boxing,Event_70,Female,Gold,9.29,32,2.01,108.96
1984,Russia,Athlete_71,Athletics,Event_71,Female,Gold,9.04,28,1.68,61.34
2020,Germany,Athlete_72,Swimming,Event_72,Female,Gold,9.18,24,1.64,68.57
1988,UK,Athlete_73,Rowing,Event_73,Female,Gold,8.87,29,1.96,94.43
2016,Canada,Athlete_74,Athletics,Event_74,Female,Gold,8.6,31,1.7,61.58
2008,Germany,Athlete_75,Gymnastics,Event_75,Female,Gold,9.92,23,2.01,102.48
1992,China,Athlete_76,Swimming,Event_76,Male,Bronze,9.28,20,1.99,80.85
1980,Russia,Athlete_77,Cycling,Event_77,Female,Silver,9.36,30,1.57,85.22
2016,France,Athlete_78,Swimming,Event_78,Male,Gold,8.14,18,1.93,104.78
1988,China,Athlete_79,Boxing,Event_79,Female,Bronze,9.14,33,2.01,65.47
1980,France,Athlete_80,Athletics,Event_80,Female,Silver,8.83,24,1.85,90.85
2012,China,Athlete_81,Tennis,Event_81,Female,Gold,9.74,23,1.9,79.64
2004,USA,Athlete_82,Cycling,Event_82,Male,Gold,9.89,20,1.69,58.15
2020,USA,Athlete_83,Swimming,Event_83,Male,Bronze,8.36,21,1.7,80.98
2008,Germany,Athlete_84,Athletics,Event_84,Female,Bronze,8.97,19,1.61,64.12
1988,Russia,Athlete_85,Athletics,Event_85,Female,Gold,9.06,33,1.92,97.42
1992,India,Athlete_86,Swimming,Event_86,Female,Silver,9.75,31,1.83,97.34
2020,Canada,Athlete_87,Athletics,Event_87,Female,Gold,8.42,20,1.6,70.82
2000,France,Athlete_88,Gymnastics,Event_88,Male,Gold,9.96,28,1.6,60.74
1984,India,Athlete_89,Athletics,Event_89,Female,Bronze,8.19,22,2.06,61.2
1996,Russia,Athlete_90,Athletics,Event_90,Female,Gold,9.52,27,1.6,53.36
1992,Germany,Athlete_91,Boxing,Event_91,Male,Silver,8.56,29,1.86,58.95
2020,Germany,Athlete_92,Tennis,Event_92,Female,Gold,8.97,29,2.02,86.93
2012,USA,Athlete_93,Athletics,Event_93,Female,Silver,9.61,25,1.89,97.27
1992,UK,Athlete_94,Gymnastics,Event_94,Female,Gold,9.65,24,1.97,92.5
2016,France,Athlete_95,Cycling,Event_95,Female,Bronze,8.86,21,1.94,80.88
2020,India,Athlete_96,Wrestling,Event_96,Male,Gold,8.62,24,2.05,76.67
1992,UK,Athlete_97,Athletics,Event_97,Female,Gold,9.94,28,1.94,84.3
2012,India,Athlete_98,Cycling,Event_98,Male,Silver,9.28,31,1.97,88.63
1984,Russia,Athlete_99,Athletics,Event_99,Male,Silver,9.95,32,2.01,85.72
1996,France,Athlete_100,Swimming,Event_100,Male,Bronze,9.67,30,1.77,95.56

